time,index,label,train_label,wave_form
600.916,150229,n,2,5.0
600.92,150230,n,2,5.01
600.924,150231,n,2,5.025
600.928,150232,n,2,5.02
600.932,150233,n,2,5.015
600.936,150234,n,2,5.02
600.94,150235,n,2,5.05
600.944,150236,n,2,5.09
600.948,150237,n,2,5.29
600.952,150238,n,2,5.78
600.956,150239,n,2,6.125
600.96,150240,n,2,5.84
600.964,150241,n,2,5.515
600.968,150242,n,2,5.43
600.972,150243,n,2,5.355
600.976,150244,n,2,5.25
600.98,150245,n,2,5.085
600.984,150246,n,2,4.855
600.988,150247,n,2,4.615
600.992,150248,n,2,4.34
600.996,150249,n,2,4.005
601.0,150250,n,2,3.9
601.004,150251,n,2,3.465
601.008,150252,n,2,3.25
601.012,150253,n,2,2.96
601.016,150254,n,2,2.675
601.02,150255,n,2,2.475
601.024,150256,n,2,2.345
601.028,150257,n,2,2.235
601.032,150258,n,2,2.125
601.036,150259,n,2,2.055
601.04,150260,n,2,2.045
601.044,150261,n,2,2.025
601.048,150262,n,2,1.995
601.052,150263,n,2,1.97
601.056,150264,n,2,1.96
601.06,150265,n,2,1.99
601.064,150266,n,2,2.01
601.068,150267,n,2,2.045
601.072,150268,n,2,2.125
601.076,150269,n,2,2.285
601.08,150270,n,2,2.48
601.084,150271,n,2,2.715
601.088,150272,n,2,3.02
601.092,150273,n,2,3.37
601.096,150274,n,2,3.715
601.1,150275,n,2,3.81
601.104,150276,n,2,4.325
601.108,150277,n,2,4.62
601.112,150278,n,2,4.88
601.116,150279,n,2,5.13
601.12,150280,na,0,5.355
601.124,150281,na,0,5.55
601.128,150282,na,0,5.675
601.132,150283,na,0,5.75
601.136,150284,na,0,5.805
601.14,150285,na,0,5.875
601.144,150286,na,0,5.92
601.148,150287,na,0,5.955
601.152,150288,na,0,5.985
601.156,150289,na,0,6.035
601.16,150290,na,0,6.065
601.164,150291,na,0,6.08
601.168,150292,na,0,6.1
601.172,150293,na,0,6.15
601.176,150294,na,0,6.18
601.18,150295,na,0,6.19
601.184,150296,t,3,6.22
601.188,150297,t,3,6.255
601.192,150298,t,3,6.295
601.196,150299,t,3,6.325
601.2,150300,t,3,6.34
601.204,150301,t,3,6.385
601.208,150302,t,3,6.44
601.212,150303,t,3,6.475
601.216,150304,t,3,6.5
601.22,150305,t,3,6.545
601.224,150306,t,3,6.59
601.228,150307,t,3,6.63
601.232,150308,t,3,6.655
601.236,150309,t,3,6.7
601.24,150310,t,3,6.75
601.244,150311,t,3,6.8
601.248,150312,t,3,6.8
601.252,150313,t,3,6.83
601.256,150314,t,3,6.865
601.26,150315,t,3,6.885
