time,index,label,train_label,wave_form
602.02,150505,p,1,-4.455
602.024,150506,p,1,-4.455
602.028,150507,p,1,-4.455
602.032,150508,p,1,-4.45
602.036,150509,p,1,-4.455
602.04,150510,p,1,-4.45
602.044,150511,p,1,-4.435
602.048,150512,p,1,-4.445
602.052,150513,p,1,-4.435
602.056,150514,p,1,-4.435
602.06,150515,p,1,-4.435
602.064,150516,p,1,-4.44
602.068,150517,p,1,-4.45
602.072,150518,p,1,-4.445
602.076,150519,p,1,-4.415
602.08,150520,p,1,-4.365
602.084,150521,p,1,-4.325
602.088,150522,p,1,-4.305
602.092,150523,p,1,-4.305
602.096,150524,p,1,-4.325
602.1,150525,p,1,-4.35
602.104,150526,p,1,-4.375
602.108,150527,p,1,-4.41
602.112,150528,p,1,-4.435
602.116,150529,p,1,-4.44
602.12,150530,p,1,-4.435
602.124,150531,p,1,-4.435
602.128,150532,p,1,-4.425
602.132,150533,p,1,-4.425
602.136,150534,p,1,-4.445
602.14,150535,p,1,-4.465
602.144,150536,p,1,-4.485
602.148,150537,p,1,-4.495
602.152,150538,p,1,-4.495
602.156,150539,p,1,-4.495
602.16,150540,p,1,-4.505
602.164,150541,p,1,-4.5
602.168,150542,na,0,-4.5
602.172,150543,na,0,-4.495
602.176,150544,na,0,-4.49
602.18,150545,na,0,-4.48
602.184,150546,na,0,-4.5
602.188,150547,na,0,-4.505
602.192,150548,na,0,-4.505
602.196,150549,na,0,-4.525
602.2,150550,na,0,-4.57
602.204,150551,na,0,-4.655
602.208,150552,na,0,-4.755
602.212,150553,n,2,-4.825
602.216,150554,n,2,-4.825
602.22,150555,n,2,-4.725
602.224,150556,n,2,-4.5
602.228,150557,n,2,-4.195
602.232,150558,n,2,-3.87
602.236,150559,n,2,-3.615
602.24,150560,n,2,-3.425
602.244,150561,n,2,-3.265
602.248,150562,n,2,-3.185
602.252,150563,n,2,-3.16
602.256,150564,n,2,-3.265
602.26,150565,n,2,-3.645
602.264,150566,n,2,-4.17
602.268,150567,n,2,-4.575
602.272,150568,n,2,-4.725
602.276,150569,n,2,-4.75
602.28,150570,n,2,-4.73
602.284,150571,n,2,-4.705
602.288,150572,n,2,-4.66
602.292,150573,n,2,-4.565
602.296,150574,n,2,-4.5
602.3,150575,n,2,-4.48
602.304,150576,n,2,-4.485
602.308,150577,n,2,-4.495
602.312,150578,n,2,-4.495
602.316,150579,na,0,-4.525
602.32,150580,na,0,-4.535
602.324,150581,na,0,-4.535
602.328,150582,na,0,-4.53
602.332,150583,na,0,-4.52
602.336,150584,na,0,-4.505
602.34,150585,na,0,-4.495
602.344,150586,na,0,-4.505
602.348,150587,na,0,-4.505
602.352,150588,na,0,-4.5
602.356,150589,na,0,-4.51
602.36,150590,na,0,-4.51
602.364,150591,na,0,-4.505
602.368,150592,na,0,-4.49
602.372,150593,na,0,-4.49
602.376,150594,na,0,-4.485
602.38,150595,na,0,-4.48
602.384,150596,na,0,-4.485
602.388,150597,na,0,-4.51
602.392,150598,na,0,-4.515
602.396,150599,na,0,-4.505
602.4,150600,na,0,-4.5
602.404,150601,na,0,-4.485
602.408,150602,t,3,-4.485
602.412,150603,t,3,-4.495
602.416,150604,t,3,-4.51
602.42,150605,t,3,-4.515
602.424,150606,t,3,-4.505
602.428,150607,t,3,-4.495
602.432,150608,t,3,-4.505
602.436,150609,t,3,-4.515
602.44,150610,t,3,-4.515
602.444,150611,t,3,-4.515
602.448,150612,t,3,-4.505
602.452,150613,t,3,-4.505
602.456,150614,t,3,-4.495
602.46,150615,t,3,-4.49
602.464,150616,t,3,-4.49
602.468,150617,t,3,-4.485
602.472,150618,t,3,-4.48
602.476,150619,t,3,-4.475
602.48,150620,t,3,-4.475
602.484,150621,t,3,-4.47
602.488,150622,t,3,-4.455
602.492,150623,t,3,-4.445
602.496,150624,t,3,-4.45
602.5,150625,t,3,-4.45
602.504,150626,t,3,-4.45
602.508,150627,t,3,-4.445
602.512,150628,t,3,-4.435
602.516,150629,t,3,-4.43
602.52,150630,t,3,-4.42
602.524,150631,t,3,-4.405
602.528,150632,t,3,-4.375
602.532,150633,t,3,-4.37
602.536,150634,t,3,-4.365
602.54,150635,t,3,-4.35
602.544,150636,t,3,-4.35
602.548,150637,t,3,-4.34
602.552,150638,t,3,-4.325
602.556,150639,t,3,-4.31
602.56,150640,t,3,-4.295
602.564,150641,t,3,-4.275
602.568,150642,t,3,-4.255
602.572,150643,t,3,-4.25
602.576,150644,t,3,-4.23
602.58,150645,t,3,-4.225
602.584,150646,t,3,-4.21
602.588,150647,t,3,-4.185
602.592,150648,t,3,-4.165
602.596,150649,t,3,-4.15
602.6,150650,t,3,-4.13
602.604,150651,t,3,-4.13
602.608,150652,t,3,-4.13
602.612,150653,t,3,-4.125
602.616,150654,t,3,-4.115
602.62,150655,t,3,-4.11
602.624,150656,t,3,-4.105
602.628,150657,t,3,-4.115
