time,index,label,train_label,wave_form
600.796,150199,p,1,0.875
600.8,150200,p,1,0.88
600.804,150201,p,1,0.93
600.808,150202,p,1,0.99
600.812,150203,p,1,0.99
600.816,150204,p,1,1.005
600.82,150205,p,1,0.98
600.824,150206,p,1,0.975
600.828,150207,p,1,0.945
600.832,150208,p,1,0.96
600.836,150209,p,1,1.005
600.84,150210,p,1,1.04
600.844,150211,p,1,1.035
600.848,150212,p,1,1.01
600.852,150213,p,1,1.05
600.856,150214,p,1,1.07
600.86,150215,p,1,1.115
600.864,150216,p,1,1.12
600.868,150217,p,1,1.105
600.872,150218,p,1,1.09
600.876,150219,p,1,1.055
600.88,150220,p,1,1.06
600.884,150221,p,1,1.035
600.888,150222,p,1,1.035
600.892,150223,p,1,1.005
600.896,150224,p,1,1.01
600.9,150225,p,1,0.97
600.904,150226,p,1,0.9
600.908,150227,p,1,0.84
600.912,150228,p,1,0.795
600.916,150229,p,1,0.77
600.92,150230,na,0,0.725
600.924,150231,na,0,0.715
600.928,150232,na,0,0.74
600.932,150233,na,0,0.77
600.936,150234,na,0,0.765
600.94,150235,na,0,0.755
600.944,150236,na,0,0.765
600.948,150237,na,0,0.765
600.952,150238,n,2,0.77
600.956,150239,n,2,0.73
600.96,150240,n,2,0.735
600.964,150241,n,2,0.755
600.968,150242,n,2,0.815
600.972,150243,n,2,0.93
600.976,150244,n,2,1.085
600.98,150245,n,2,1.275
600.984,150246,n,2,1.35
600.988,150247,n,2,1.37
600.992,150248,n,2,1.28
600.996,150249,n,2,1.155
601.0,150250,n,2,0.985
601.004,150251,n,2,0.885
601.008,150252,n,2,0.885
601.012,150253,n,2,0.94
601.016,150254,n,2,1.025
601.02,150255,n,2,0.94
601.024,150256,n,2,0.745
601.028,150257,n,2,0.54
601.032,150258,n,2,0.46
601.036,150259,n,2,0.455
601.04,150260,n,2,0.435
601.044,150261,n,2,0.395
601.048,150262,n,2,0.39
601.052,150263,n,2,0.44
601.056,150264,n,2,0.48
601.06,150265,n,2,0.525
601.064,150266,n,2,0.55
601.068,150267,n,2,0.6
601.072,150268,n,2,0.66
601.076,150269,n,2,0.665
601.08,150270,n,2,0.68
601.084,150271,na,0,0.675
601.088,150272,na,0,0.7
601.092,150273,na,0,0.685
601.096,150274,na,0,0.67
601.1,150275,na,0,0.665
601.104,150276,na,0,0.655
601.108,150277,na,0,0.66
601.112,150278,na,0,0.655
601.116,150279,na,0,0.68
601.12,150280,na,0,0.675
601.124,150281,na,0,0.675
601.128,150282,na,0,0.63
601.132,150283,na,0,0.63
601.136,150284,na,0,0.66
601.14,150285,na,0,0.665
601.144,150286,na,0,0.65
601.148,150287,na,0,0.615
601.152,150288,na,0,0.635
601.156,150289,na,0,0.625
601.16,150290,na,0,0.635
601.164,150291,na,0,0.635
601.168,150292,na,0,0.62
601.172,150293,na,0,0.585
601.176,150294,na,0,0.54
601.18,150295,na,0,0.55
601.184,150296,na,0,0.565
601.188,150297,na,0,0.59
601.192,150298,na,0,0.58
601.196,150299,na,0,0.595
601.2,150300,na,0,0.605
601.204,150301,na,0,0.595
601.208,150302,na,0,0.58
601.212,150303,t,3,0.6
601.216,150304,t,3,0.615
601.22,150305,t,3,0.59
601.224,150306,t,3,0.6
601.228,150307,t,3,0.62
601.232,150308,t,3,0.655
601.236,150309,t,3,0.65
601.24,150310,t,3,0.65
601.244,150311,t,3,0.69
601.248,150312,t,3,0.715
601.252,150313,t,3,0.715
601.256,150314,t,3,0.695
601.26,150315,t,3,0.72
601.264,150316,t,3,0.74
601.268,150317,t,3,0.75
601.272,150318,t,3,0.74
601.276,150319,t,3,0.77
601.28,150320,t,3,0.81
601.284,150321,t,3,0.78
601.288,150322,t,3,0.78
601.292,150323,t,3,0.775
601.296,150324,t,3,0.775
601.3,150325,t,3,0.745
601.304,150326,t,3,0.74
601.308,150327,t,3,0.76
601.312,150328,t,3,0.725
601.316,150329,t,3,0.715
601.32,150330,t,3,0.69
601.324,150331,t,3,0.7
601.328,150332,t,3,0.695
601.332,150333,t,3,0.7
601.336,150334,t,3,0.7
601.34,150335,t,3,0.7
601.344,150336,t,3,0.69
601.348,150337,t,3,0.665
601.352,150338,t,3,0.67
601.356,150339,t,3,0.655
601.36,150340,t,3,0.645
601.364,150341,t,3,0.625
601.368,150342,t,3,0.625
601.372,150343,t,3,0.645
601.376,150344,t,3,0.62
601.38,150345,na,0,0.61
601.384,150346,na,0,0.6
601.388,150347,na,0,0.615
601.392,150348,na,0,0.6
601.396,150349,na,0,0.59
601.4,150350,na,0,0.6
601.404,150351,na,0,0.595
601.408,150352,na,0,0.6
601.412,150353,na,0,0.575
601.416,150354,na,0,0.57
601.42,150355,na,0,0.575
601.424,150356,na,0,0.6
601.428,150357,na,0,0.585
601.432,150358,na,0,0.57
601.436,150359,na,0,0.555
601.44,150360,na,0,0.54
601.444,150361,na,0,0.535
601.448,150362,na,0,0.53
601.452,150363,na,0,0.555
601.456,150364,na,0,0.525
601.46,150365,na,0,0.535
601.464,150366,na,0,0.55
601.468,150367,na,0,0.565
601.472,150368,na,0,0.545
601.476,150369,na,0,0.505
601.48,150370,na,0,0.51
601.484,150371,na,0,0.51
601.488,150372,na,0,0.525
601.492,150373,na,0,0.53
601.496,150374,na,0,0.555
601.5,150375,na,0,0.54
601.504,150376,na,0,0.51
601.508,150377,na,0,0.505
601.512,150378,na,0,0.52
601.516,150379,na,0,0.55
601.52,150380,na,0,0.53
601.524,150381,na,0,0.525
601.528,150382,na,0,0.535
601.532,150383,na,0,0.53
601.536,150384,na,0,0.515
