time,index,label,train_label,wave_form
601.388,150347,p,1,-0.84
601.392,150348,p,1,-0.85
601.396,150349,p,1,-0.845
601.4,150350,p,1,-0.84
601.404,150351,p,1,-0.825
601.408,150352,p,1,-0.81
601.412,150353,p,1,-0.8
601.416,150354,p,1,-0.795
601.42,150355,p,1,-0.8
601.424,150356,p,1,-0.795
601.428,150357,p,1,-0.78
601.432,150358,p,1,-0.78
601.436,150359,p,1,-0.775
601.44,150360,p,1,-0.755
601.444,150361,p,1,-0.74
601.448,150362,p,1,-0.75
601.452,150363,p,1,-0.77
601.456,150364,p,1,-0.77
601.46,150365,p,1,-0.785
601.464,150366,p,1,-0.77
601.468,150367,p,1,-0.78
601.472,150368,p,1,-0.775
601.476,150369,p,1,-0.845
601.48,150370,p,1,-0.815
601.484,150371,p,1,-0.8
601.488,150372,p,1,-0.8
601.492,150373,p,1,-0.8
601.496,150374,p,1,-0.815
601.5,150375,p,1,-0.825
601.504,150376,na,0,-0.83
601.508,150377,na,0,-0.845
601.512,150378,na,0,-0.845
601.516,150379,na,0,-0.85
601.52,150380,na,0,-0.855
601.524,150381,na,0,-0.86
601.528,150382,na,0,-0.85
601.532,150383,na,0,-0.86
601.536,150384,na,0,-0.86
601.54,150385,na,0,-0.85
601.544,150386,na,0,-0.855
601.548,150387,n,2,-0.855
601.552,150388,n,2,-0.85
601.556,150389,n,2,-0.855
601.56,150390,n,2,-0.855
601.564,150391,n,2,-0.84
601.568,150392,n,2,-0.795
601.572,150393,n,2,-0.695
601.576,150394,n,2,-0.595
601.58,150395,n,2,-0.47
601.584,150396,n,2,-0.355
601.588,150397,n,2,-0.22
601.592,150398,n,2,-0.13
601.596,150399,n,2,0.005
601.6,150400,n,2,0.11
601.604,150401,n,2,0.155
601.608,150402,n,2,0.22
601.612,150403,n,2,0.045
601.616,150404,n,2,-0.245
601.62,150405,n,2,-0.535
601.624,150406,n,2,-0.815
601.628,150407,n,2,-1.11
601.632,150408,n,2,-1.245
601.636,150409,n,2,-1.305
601.64,150410,n,2,-1.285
601.644,150411,n,2,-1.22
601.648,150412,n,2,-1.13
601.652,150413,n,2,-1.04
601.656,150414,na,0,-0.96
601.66,150415,na,0,-0.925
601.664,150416,na,0,-0.925
601.668,150417,na,0,-0.915
601.672,150418,na,0,-0.915
601.676,150419,na,0,-0.92
601.68,150420,na,0,-0.915
601.684,150421,na,0,-0.92
601.688,150422,na,0,-0.94
601.692,150423,na,0,-0.92
601.696,150424,na,0,-0.925
601.7,150425,na,0,-0.925
601.704,150426,na,0,-0.925
601.708,150427,na,0,-0.925
601.712,150428,na,0,-0.925
601.716,150429,na,0,-0.92
601.72,150430,na,0,-0.925
601.724,150431,na,0,-0.93
601.728,150432,na,0,-0.93
601.732,150433,na,0,-0.935
601.736,150434,na,0,-0.925
601.74,150435,na,0,-0.94
601.744,150436,na,0,-0.925
601.748,150437,na,0,-0.935
601.752,150438,na,0,-0.94
601.756,150439,na,0,-0.94
601.76,150440,na,0,-0.93
601.764,150441,na,0,-0.94
601.768,150442,na,0,-0.94
601.772,150443,na,0,-0.94
601.776,150444,na,0,-0.945
601.78,150445,na,0,-0.935
601.784,150446,na,0,-0.95
601.788,150447,na,0,-0.945
601.792,150448,na,0,-0.955
601.796,150449,na,0,-0.955
601.8,150450,na,0,-0.96
601.804,150451,na,0,-0.96
601.808,150452,na,0,-0.97
601.812,150453,na,0,-0.96
601.816,150454,na,0,-0.97
601.82,150455,na,0,-0.97
601.824,150456,t,3,-0.975
601.828,150457,t,3,-0.98
601.832,150458,t,3,-0.975
601.836,150459,t,3,-0.97
601.84,150460,t,3,-0.97
601.844,150461,t,3,-0.965
601.848,150462,t,3,-0.945
601.852,150463,t,3,-0.95
601.856,150464,t,3,-0.935
601.86,150465,t,3,-0.92
601.864,150466,t,3,-0.9
601.868,150467,t,3,-0.885
601.872,150468,t,3,-0.855
601.876,150469,t,3,-0.83
601.88,150470,t,3,-0.81
601.884,150471,t,3,-0.785
601.888,150472,t,3,-0.755
601.892,150473,t,3,-0.725
601.896,150474,t,3,-0.695
601.9,150475,t,3,-0.68
601.904,150476,t,3,-0.67
601.908,150477,t,3,-0.65
601.912,150478,t,3,-0.645
601.916,150479,t,3,-0.65
601.92,150480,t,3,-0.645
601.924,150481,t,3,-0.655
601.928,150482,t,3,-0.67
601.932,150483,t,3,-0.685
601.936,150484,t,3,-0.685
601.94,150485,t,3,-0.705
601.944,150486,t,3,-0.715
601.948,150487,t,3,-0.725
601.952,150488,t,3,-0.73
601.956,150489,t,3,-0.745
601.96,150490,t,3,-0.755
601.964,150491,t,3,-0.765
601.968,150492,t,3,-0.77
601.972,150493,t,3,-0.78
601.976,150494,t,3,-0.78
601.98,150495,t,3,-0.785
601.984,150496,t,3,-0.79
601.988,150497,t,3,-0.8
601.992,150498,t,3,-0.8
601.996,150499,t,3,-0.8
602.0,150500,t,3,-0.81
602.004,150501,t,3,-0.81
602.008,150502,t,3,-0.825
602.012,150503,t,3,-0.82
602.016,150504,t,3,-0.825
602.02,150505,t,3,-0.825
602.024,150506,t,3,-0.84
602.028,150507,t,3,-0.84
602.032,150508,t,3,-0.845
602.036,150509,t,3,-0.845
602.04,150510,na,0,-0.845
602.044,150511,na,0,-0.845
602.048,150512,na,0,-0.84
602.052,150513,na,0,-0.84
602.056,150514,na,0,-0.84
602.06,150515,na,0,-0.845
602.064,150516,na,0,-0.845
602.068,150517,na,0,-0.86
602.072,150518,na,0,-0.85
602.076,150519,na,0,-0.845
602.08,150520,na,0,-0.84
602.084,150521,na,0,-0.845
602.088,150522,na,0,-0.845
602.092,150523,na,0,-0.845
602.096,150524,na,0,-0.845
602.1,150525,na,0,-0.845
602.104,150526,na,0,-0.84
602.108,150527,na,0,-0.84
602.112,150528,na,0,-0.835
602.116,150529,na,0,-0.835
602.12,150530,na,0,-0.825
602.124,150531,na,0,-0.84
602.128,150532,na,0,-0.845
602.132,150533,na,0,-0.845
602.136,150534,na,0,-0.845
602.14,150535,na,0,-0.845
602.144,150536,na,0,-0.845
602.148,150537,na,0,-0.845
602.152,150538,na,0,-0.84
602.156,150539,na,0,-0.84
602.16,150540,na,0,-0.845
602.164,150541,na,0,-0.835
602.168,150542,na,0,-0.84
602.172,150543,na,0,-0.835
602.176,150544,na,0,-0.835
602.18,150545,na,0,-0.835
602.184,150546,na,0,-0.84
602.188,150547,na,0,-0.84
602.192,150548,na,0,-0.845
602.196,150549,na,0,-0.845
602.2,150550,na,0,-0.845
602.204,150551,na,0,-0.835
602.208,150552,na,0,-0.845
602.212,150553,na,0,-0.84
602.216,150554,na,0,-0.845
602.22,150555,na,0,-0.84
602.224,150556,na,0,-0.84
602.228,150557,na,0,-0.835
602.232,150558,na,0,-0.835
602.236,150559,na,0,-0.84
602.24,150560,na,0,-0.835
602.244,150561,na,0,-0.845
602.248,150562,na,0,-0.84
602.252,150563,na,0,-0.84
602.256,150564,na,0,-0.83
602.26,150565,na,0,-0.835
602.264,150566,p,1,-0.835
602.268,150567,p,1,-0.825
602.272,150568,p,1,-0.835
602.276,150569,p,1,-0.825
602.28,150570,p,1,-0.81
602.284,150571,p,1,-0.795
602.288,150572,p,1,-0.8
602.292,150573,p,1,-0.795
602.296,150574,p,1,-0.785
602.3,150575,p,1,-0.78
602.304,150576,p,1,-0.78
