time,index,label,train_label,wave_form
602.42,150605,n,2,0.045
602.424,150606,n,2,0.04
602.428,150607,n,2,0.04
602.432,150608,n,2,0.035
602.436,150609,n,2,0.025
602.44,150610,n,2,0.015
602.444,150611,n,2,0.01
602.448,150612,n,2,-0.005
602.452,150613,n,2,-0.03
602.456,150614,n,2,-0.05
602.46,150615,n,2,-0.07
602.464,150616,n,2,-0.065
602.468,150617,n,2,-0.01
602.472,150618,n,2,0.085
602.476,150619,n,2,0.215
602.48,150620,n,2,0.355
602.484,150621,n,2,0.475
602.488,150622,n,2,0.58
602.492,150623,n,2,0.595
602.496,150624,n,2,0.56
602.5,150625,n,2,0.475
602.504,150626,n,2,0.395
602.508,150627,n,2,0.315
602.512,150628,n,2,0.225
602.516,150629,n,2,0.135
602.52,150630,n,2,0.04
602.524,150631,n,2,-0.03
602.528,150632,n,2,-0.075
602.532,150633,n,2,-0.105
602.536,150634,n,2,-0.12
602.54,150635,n,2,-0.115
602.544,150636,n,2,-0.08
602.548,150637,n,2,-0.025
602.552,150638,n,2,0.01
602.556,150639,n,2,0.035
602.56,150640,n,2,0.04
603.772,150943,n,2,0.065
603.776,150944,n,2,0.065
603.78,150945,n,2,0.07
603.784,150946,n,2,0.07
603.788,150947,n,2,0.065
603.792,150948,n,2,0.06
603.796,150949,n,2,0.05
603.8,150950,n,2,0.035
603.804,150951,n,2,0.015
603.808,150952,n,2,-0.005
603.812,150953,n,2,-0.04
603.816,150954,n,2,-0.095
603.82,150955,n,2,-0.145
603.824,150956,n,2,-0.165
603.828,150957,n,2,-0.13
603.832,150958,n,2,-0.06
603.836,150959,n,2,0.03
603.84,150960,n,2,0.14
603.844,150961,n,2,0.27
603.848,150962,n,2,0.365
603.852,150963,n,2,0.395
603.856,150964,n,2,0.335
603.86,150965,n,2,0.24
603.864,150966,n,2,0.16
603.868,150967,n,2,0.11
603.872,150968,n,2,0.075
603.876,150969,n,2,0.06
603.88,150970,n,2,0.05
603.884,150971,n,2,0.03
603.888,150972,n,2,0.0
603.892,150973,n,2,-0.02
603.896,150974,n,2,-0.035
603.9,150975,n,2,-0.03
603.904,150976,n,2,-0.01
