time,index,label,train_label,interval,ch1,ch2
601.216,150304,p,1,0,-0.11,0.155
601.22,150305,p,1,0,-0.11,0.16
601.224,150306,p,1,0,-0.1,0.155
601.228,150307,p,1,0,-0.09,0.155
601.232,150308,p,1,0,-0.075,0.155
601.236,150309,p,1,0,-0.07,0.15
601.24,150310,p,1,0,-0.065,0.155
601.244,150311,p,1,0,-0.065,0.16
601.248,150312,p,1,0,-0.06,0.165
601.252,150313,p,1,0,-0.05,0.165
601.256,150314,p,1,0,-0.03,0.175
601.26,150315,p,1,0,-0.02,0.175
601.264,150316,p,1,0,-0.015,0.17
601.268,150317,p,1,0,-0.005,0.165
601.272,150318,p,1,0,0.0,0.155
601.276,150319,p,1,0,0.015,0.15
601.28,150320,p,1,0,0.015,0.14
601.284,150321,p,1,0,0.015,0.135
601.288,150322,p,1,0,0.015,0.135
601.292,150323,p,1,0,0.025,0.125
601.296,150324,p,1,0,0.025,0.115
601.3,150325,p,1,0,0.02,0.105
601.304,150326,p,1,0,0.01,0.105
601.308,150327,p,1,0,-0.005,0.1
601.312,150328,p,1,0,-0.02,0.1
601.316,150329,p,1,0,-0.04,0.1
601.32,150330,p,1,0,-0.06,0.11
601.324,150331,p,1,0,-0.075,0.12
601.328,150332,p,1,0,-0.08,0.125
601.332,150333,p,1,0,-0.085,0.135
601.336,150334,na,0,0,-0.095,0.14
601.34,150335,na,0,0,-0.1,0.14
601.344,150336,na,0,0,-0.1,0.135
601.348,150337,na,0,0,-0.1,0.135
601.352,150338,na,0,0,-0.095,0.13
601.356,150339,na,0,0,-0.085,0.13
601.36,150340,na,0,0,-0.07,0.125
601.364,150341,na,0,0,-0.075,0.125
601.368,150342,na,0,0,-0.075,0.125
601.372,150343,na,0,0,-0.075,0.12
601.376,150344,N,2,0,-0.07,0.12
601.38,150345,N,2,0,-0.065,0.115
601.384,150346,N,2,0,-0.055,0.115
601.388,150347,N,2,0,-0.035,0.105
601.392,150348,N,2,0,0.0,0.09
601.396,150349,N,2,0,0.05,0.07
601.4,150350,N,2,0,0.1,0.05
601.404,150351,N,2,0,0.175,0.02
601.408,150352,N,2,0,0.265,-0.03
601.412,150353,N,2,0,0.37,-0.105
601.416,150354,N,2,0,0.43,-0.18
601.42,150355,N,2,0,0.465,-0.27
601.424,150356,N,2,0,0.445,-0.35
601.428,150357,N,2,0,0.375,-0.415
601.432,150358,N,2,0,0.28,-0.46
601.436,150359,N,2,0,0.19,-0.455
601.44,150360,N,2,0,0.145,-0.405
601.444,150361,N,2,0,0.12,-0.305
601.448,150362,N,2,0,0.095,-0.205
601.452,150363,N,2,0,0.07,-0.13
601.456,150364,N,2,0,0.04,-0.065
601.46,150365,N,2,0,0.025,-0.01
601.464,150366,N,2,0,0.0,0.03
601.468,150367,N,2,0,-0.025,0.055
601.472,150368,N,2,0,-0.045,0.065
601.476,150369,N,2,0,-0.055,0.075
601.48,150370,N,2,0,-0.06,0.09
601.484,150371,na,0,0,-0.06,0.105
601.488,150372,na,0,0,-0.055,0.11
601.492,150373,na,0,0,-0.065,0.115
601.496,150374,na,0,0,-0.075,0.12
601.5,150375,na,0,0,-0.075,0.125
601.504,150376,na,0,0,-0.065,0.13
601.508,150377,na,0,0,-0.06,0.13
601.512,150378,na,0,0,-0.065,0.135
601.516,150379,na,0,0,-0.065,0.135
601.52,150380,na,0,0,-0.065,0.14
601.524,150381,na,0,0,-0.065,0.14
601.528,150382,na,0,0,-0.07,0.15
601.532,150383,na,0,0,-0.065,0.15
601.536,150384,na,0,0,-0.06,0.15
601.54,150385,na,0,0,-0.05,0.15
601.544,150386,na,0,0,-0.05,0.15
601.548,150387,na,0,0,-0.055,0.15
601.552,150388,na,0,0,-0.06,0.145
601.556,150389,na,0,0,-0.065,0.15
601.56,150390,na,0,0,-0.065,0.155
601.564,150391,na,0,0,-0.07,0.16
601.568,150392,na,0,0,-0.06,0.16
601.572,150393,na,0,0,-0.055,0.16
601.576,150394,na,0,0,-0.055,0.155
601.58,150395,na,0,0,-0.07,0.16
601.584,150396,na,0,0,-0.075,0.17
601.588,150397,na,0,0,-0.07,0.165
601.592,150398,na,0,0,-0.065,0.165
601.596,150399,na,0,0,-0.07,0.165
601.6,150400,na,0,0,-0.08,0.165
601.604,150401,na,0,0,-0.08,0.17
601.608,150402,na,0,0,-0.07,0.165
601.612,150403,na,0,0,-0.06,0.17
601.616,150404,na,0,0,-0.06,0.165
601.62,150405,na,0,0,-0.075,0.165
601.624,150406,na,0,0,-0.09,0.16
601.628,150407,na,0,0,-0.095,0.16
601.632,150408,na,0,0,-0.09,0.155
601.636,150409,t,3,0,-0.09,0.155
601.64,150410,t,3,0,-0.085,0.15
601.644,150411,t,3,0,-0.09,0.15
601.648,150412,t,3,0,-0.105,0.155
601.652,150413,t,3,0,-0.115,0.155
601.656,150414,t,3,0,-0.12,0.155
601.66,150415,t,3,0,-0.12,0.15
601.664,150416,t,3,0,-0.135,0.15
601.668,150417,t,3,0,-0.145,0.145
601.672,150418,t,3,0,-0.155,0.145
601.676,150419,t,3,0,-0.17,0.145
601.68,150420,t,3,0,-0.18,0.14
601.684,150421,t,3,0,-0.19,0.135
601.688,150422,t,3,0,-0.195,0.125
601.692,150423,t,3,0,-0.215,0.12
601.696,150424,t,3,0,-0.235,0.12
601.7,150425,t,3,0,-0.24,0.12
601.704,150426,t,3,0,-0.245,0.12
601.708,150427,t,3,0,-0.245,0.115
601.712,150428,t,3,0,-0.255,0.115
601.716,150429,t,3,0,-0.265,0.11
601.72,150430,t,3,0,-0.27,0.11
601.724,150431,t,3,0,-0.265,0.105
601.728,150432,t,3,0,-0.265,0.105
601.732,150433,t,3,0,-0.255,0.11
601.736,150434,t,3,0,-0.24,0.105
601.74,150435,t,3,0,-0.235,0.11
601.744,150436,t,3,0,-0.225,0.105
601.748,150437,t,3,0,-0.215,0.105
601.752,150438,t,3,0,-0.2,0.105
601.756,150439,t,3,0,-0.195,0.1
601.76,150440,t,3,0,-0.19,0.1
601.764,150441,t,3,0,-0.175,0.105
601.768,150442,t,3,0,-0.16,0.11
601.772,150443,t,3,0,-0.145,0.105
601.776,150444,t,3,0,-0.135,0.11
601.78,150445,t,3,0,-0.125,0.11
601.784,150446,t,3,0,-0.115,0.105
601.788,150447,t,3,0,-0.105,0.105
601.792,150448,t,3,0,-0.1,0.105
601.796,150449,t,3,0,-0.095,0.11
601.8,150450,t,3,0,-0.085,0.105
601.804,150451,t,3,0,-0.075,0.105
601.808,150452,t,3,0,-0.07,0.105
601.812,150453,t,3,0,-0.07,0.105
601.816,150454,t,3,0,-0.07,0.105
601.82,150455,t,3,0,-0.065,0.105
601.824,150456,t,3,0,-0.055,0.11
601.828,150457,t,3,0,-0.06,0.11
601.832,150458,t,3,0,-0.06,0.11
601.836,150459,t,3,0,-0.055,0.11
601.84,150460,na,0,0,-0.055,0.115
601.844,150461,na,0,0,-0.06,0.115
601.848,150462,na,0,0,-0.06,0.12
601.852,150463,na,0,0,-0.065,0.12
601.856,150464,na,0,0,-0.07,0.125
601.86,150465,na,0,0,-0.08,0.13
601.864,150466,na,0,0,-0.085,0.13
601.868,150467,na,0,0,-0.075,0.135
601.872,150468,na,0,0,-0.08,0.135
601.876,150469,na,0,0,-0.08,0.14
601.88,150470,na,0,0,-0.08,0.14
601.884,150471,na,0,0,-0.075,0.14
601.888,150472,na,0,0,-0.07,0.14
601.892,150473,na,0,0,-0.075,0.14
601.896,150474,na,0,0,-0.07,0.14
601.9,150475,na,0,0,-0.07,0.145
601.904,150476,na,0,0,-0.065,0.145
601.908,150477,na,0,0,-0.065,0.14
601.912,150478,na,0,0,-0.065,0.145
601.916,150479,na,0,0,-0.065,0.14
601.92,150480,na,0,0,-0.075,0.14
601.924,150481,na,0,0,-0.085,0.14
601.928,150482,na,0,0,-0.08,0.14
601.932,150483,na,0,0,-0.065,0.14
601.936,150484,na,0,0,-0.065,0.135
601.94,150485,na,0,0,-0.065,0.14
601.944,150486,na,0,0,-0.065,0.14
601.948,150487,na,0,0,-0.06,0.145
601.952,150488,na,0,0,-0.055,0.145
601.956,150489,p,1,0,-0.065,0.145
601.96,150490,p,1,0,-0.065,0.145
601.964,150491,p,1,0,-0.07,0.145
601.968,150492,p,1,0,-0.06,0.145
601.972,150493,p,1,0,-0.055,0.14
601.976,150494,p,1,0,-0.055,0.145
601.98,150495,p,1,0,-0.05,0.145
