time,index,label,train_label,interval,ch1,ch2
601.3,150325,p,1,0,-3.7,-4.04
601.304,150326,p,1,0,-3.705,-4.045
601.308,150327,p,1,0,-3.705,-4.04
601.312,150328,p,1,0,-3.705,-4.05
601.316,150329,p,1,0,-3.71,-4.03
601.32,150330,p,1,0,-3.71,-4.025
601.324,150331,p,1,0,-3.715,-4.02
601.328,150332,p,1,0,-3.725,-4.025
601.332,150333,p,1,0,-3.74,-4.03
601.336,150334,p,1,0,-3.76,-4.02
601.34,150335,p,1,0,-3.77,-4.0
601.344,150336,p,1,0,-3.795,-3.985
601.348,150337,p,1,0,-3.825,-3.975
601.352,150338,p,1,0,-3.85,-3.975
601.356,150339,p,1,0,-3.85,-3.975
601.36,150340,p,1,0,-3.825,-3.985
601.364,150341,p,1,0,-3.795,-4.0
601.368,150342,p,1,0,-3.765,-4.0
601.372,150343,p,1,0,-3.76,-3.995
601.376,150344,p,1,0,-3.775,-3.995
601.38,150345,p,1,0,-3.785,-4.02
601.384,150346,p,1,0,-3.8,-4.02
601.388,150347,p,1,0,-3.795,-4.025
601.392,150348,p,1,0,-3.78,-4.025
601.396,150349,p,1,0,-3.75,-4.025
601.4,150350,p,1,0,-3.735,-4.04
601.404,150351,p,1,0,-3.735,-4.05
601.408,150352,p,1,0,-3.72,-4.05
601.412,150353,p,1,0,-3.715,-4.05
601.416,150354,na,0,0,-3.715,-4.045
601.42,150355,na,0,0,-3.725,-4.045
601.424,150356,na,0,0,-3.725,-4.045
601.428,150357,na,0,0,-3.71,-4.045
601.432,150358,na,0,0,-3.705,-4.04
601.436,150359,na,0,0,-3.71,-4.035
601.44,150360,na,0,0,-3.71,-4.035
601.444,150361,na,0,0,-3.72,-4.035
601.448,150362,na,0,0,-3.7,-4.025
601.452,150363,na,0,0,-3.715,-4.025
601.456,150364,na,0,0,-3.71,-4.02
601.46,150365,na,0,0,-3.71,-4.02
601.464,150366,N,2,0,-3.71,-4.01
601.468,150367,N,2,0,-3.695,-4.005
601.472,150368,N,2,0,-3.705,-3.995
601.476,150369,N,2,0,-3.695,-3.98
601.48,150370,N,2,0,-3.695,-3.95
601.484,150371,N,2,0,-3.695,-3.885
601.488,150372,N,2,0,-3.675,-3.82
601.492,150373,N,2,0,-3.63,-3.755
601.496,150374,N,2,0,-3.605,-3.675
601.5,150375,N,2,0,-3.62,-3.485
601.504,150376,N,2,0,-3.605,-3.195
601.508,150377,N,2,0,-3.605,-3.07
601.512,150378,N,2,0,-3.66,-3.11
601.516,150379,N,2,0,-3.775,-3.15
601.52,150380,N,2,0,-3.875,-3.185
601.524,150381,N,2,0,-3.895,-3.27
601.528,150382,N,2,0,-3.95,-3.5
601.532,150383,N,2,0,-4.115,-3.905
601.536,150384,N,2,0,-4.23,-4.195
601.54,150385,N,2,0,-4.14,-4.425
601.544,150386,N,2,0,-4.0,-4.575
601.548,150387,N,2,0,-3.965,-4.515
601.552,150388,N,2,0,-3.975,-4.385
601.556,150389,N,2,0,-4.02,-4.255
601.56,150390,N,2,0,-4.08,-4.11
601.564,150391,N,2,0,-4.115,-4.02
601.568,150392,N,2,0,-4.14,-3.945
601.572,150393,N,2,0,-4.105,-3.885
601.576,150394,N,2,0,-4.015,-3.865
601.58,150395,N,2,0,-3.9,-3.84
601.584,150396,N,2,0,-3.81,-3.82
601.588,150397,N,2,0,-3.745,-3.825
601.592,150398,N,2,0,-3.695,-3.82
601.596,150399,N,2,0,-3.68,-3.805
601.6,150400,na,0,0,-3.665,-3.8
601.604,150401,na,0,0,-3.675,-3.8
601.608,150402,na,0,0,-3.665,-3.8
601.612,150403,na,0,0,-3.665,-3.795
601.616,150404,na,0,0,-3.655,-3.785
601.62,150405,na,0,0,-3.645,-3.785
601.624,150406,na,0,0,-3.645,-3.775
601.628,150407,na,0,0,-3.64,-3.77
601.632,150408,na,0,0,-3.64,-3.765
601.636,150409,na,0,0,-3.645,-3.76
601.64,150410,na,0,0,-3.64,-3.755
601.644,150411,na,0,0,-3.64,-3.74
601.648,150412,na,0,0,-3.64,-3.74
601.652,150413,na,0,0,-3.63,-3.725
601.656,150414,na,0,0,-3.64,-3.72
601.66,150415,na,0,0,-3.63,-3.72
601.664,150416,na,0,0,-3.63,-3.71
601.668,150417,na,0,0,-3.62,-3.72
601.672,150418,na,0,0,-3.63,-3.71
601.676,150419,na,0,0,-3.63,-3.7
601.68,150420,t,3,0,-3.625,-3.695
601.684,150421,t,3,0,-3.63,-3.69
601.688,150422,t,3,0,-3.625,-3.69
601.692,150423,t,3,0,-3.635,-3.675
601.696,150424,t,3,0,-3.63,-3.675
601.7,150425,t,3,0,-3.63,-3.67
601.704,150426,t,3,0,-3.635,-3.66
601.708,150427,t,3,0,-3.625,-3.65
601.712,150428,t,3,0,-3.64,-3.645
601.716,150429,t,3,0,-3.645,-3.645
601.72,150430,t,3,0,-3.64,-3.625
601.724,150431,t,3,0,-3.655,-3.62
601.728,150432,t,3,0,-3.64,-3.61
601.732,150433,t,3,0,-3.645,-3.595
601.736,150434,t,3,0,-3.63,-3.585
601.74,150435,t,3,0,-3.64,-3.56
601.744,150436,t,3,0,-3.64,-3.57
601.748,150437,t,3,0,-3.63,-3.56
601.752,150438,t,3,0,-3.64,-3.53
601.756,150439,t,3,0,-3.635,-3.535
601.76,150440,t,3,0,-3.645,-3.5
601.764,150441,t,3,0,-3.635,-3.495
601.768,150442,t,3,0,-3.63,-3.47
601.772,150443,t,3,0,-3.63,-3.46
601.776,150444,t,3,0,-3.615,-3.455
601.78,150445,t,3,0,-3.615,-3.42
601.784,150446,t,3,0,-3.61,-3.405
601.788,150447,t,3,0,-3.615,-3.38
601.792,150448,t,3,0,-3.62,-3.37
601.796,150449,t,3,0,-3.605,-3.345
601.8,150450,t,3,0,-3.61,-3.325
601.804,150451,t,3,0,-3.595,-3.31
601.808,150452,t,3,0,-3.595,-3.27
601.812,150453,t,3,0,-3.585,-3.26
601.816,150454,t,3,0,-3.58,-3.235
601.82,150455,t,3,0,-3.58,-3.22
601.824,150456,t,3,0,-3.57,-3.195
601.828,150457,t,3,0,-3.57,-3.185
601.832,150458,t,3,0,-3.555,-3.175
601.836,150459,t,3,0,-3.555,-3.16
601.84,150460,t,3,0,-3.55,-3.155
601.844,150461,t,3,0,-3.54,-3.14
601.848,150462,t,3,0,-3.54,-3.145
601.852,150463,t,3,0,-3.54,-3.135
601.856,150464,t,3,0,-3.545,-3.15
601.86,150465,t,3,0,-3.54,-3.14
601.864,150466,t,3,0,-3.54,-3.155
601.868,150467,t,3,0,-3.54,-3.17
601.872,150468,t,3,0,-3.54,-3.19
601.876,150469,t,3,0,-3.555,-3.21
601.88,150470,t,3,0,-3.58,-3.235
601.884,150471,t,3,0,-3.58,-3.295
601.888,150472,t,3,0,-3.59,-3.345
601.892,150473,t,3,0,-3.61,-3.405
601.896,150474,t,3,0,-3.63,-3.45
601.9,150475,t,3,0,-3.645,-3.52
601.904,150476,t,3,0,-3.665,-3.575
601.908,150477,t,3,0,-3.675,-3.635
601.912,150478,t,3,0,-3.675,-3.69
601.916,150479,t,3,0,-3.685,-3.725
601.92,150480,t,3,0,-3.69,-3.77
601.924,150481,t,3,0,-3.695,-3.8
601.928,150482,t,3,0,-3.695,-3.825
601.932,150483,t,3,0,-3.695,-3.855
601.936,150484,t,3,0,-3.71,-3.87
601.94,150485,t,3,0,-3.705,-3.895
601.944,150486,t,3,0,-3.72,-3.905
601.948,150487,t,3,0,-3.71,-3.92
601.952,150488,na,0,0,-3.71,-3.925
601.956,150489,na,0,0,-3.72,-3.935
601.96,150490,na,0,0,-3.72,-3.94
601.964,150491,na,0,0,-3.73,-3.94
601.968,150492,na,0,0,-3.72,-3.935
601.972,150493,na,0,0,-3.72,-3.96
601.976,150494,na,0,0,-3.735,-3.95
601.98,150495,na,0,0,-3.735,-3.955
601.984,150496,na,0,0,-3.735,-3.955
601.988,150497,na,0,0,-3.715,-3.97
601.992,150498,na,0,0,-3.73,-3.96
601.996,150499,na,0,0,-3.745,-3.96
602.0,150500,na,0,0,-3.735,-3.97
602.004,150501,na,0,0,-3.74,-3.975
602.008,150502,na,0,0,-3.735,-3.96
602.012,150503,na,0,0,-3.735,-3.97
602.016,150504,na,0,0,-3.735,-3.97
602.02,150505,na,0,0,-3.725,-3.97
602.024,150506,na,0,0,-3.73,-3.97
602.028,150507,na,0,0,-3.725,-3.97
602.032,150508,na,0,0,-3.73,-3.975
602.036,150509,na,0,0,-3.725,-3.97
602.04,150510,na,0,0,-3.725,-3.97
602.044,150511,na,0,0,-3.735,-3.97
602.048,150512,na,0,0,-3.735,-3.96
602.052,150513,na,0,0,-3.74,-3.975
602.056,150514,na,0,0,-3.745,-3.97
602.06,150515,na,0,0,-3.735,-3.97
602.064,150516,na,0,0,-3.745,-3.97
602.068,150517,na,0,0,-3.745,-3.97
602.072,150518,na,0,0,-3.745,-3.97
602.076,150519,na,0,0,-3.735,-3.96
602.08,150520,na,0,0,-3.735,-3.96
602.084,150521,na,0,0,-3.74,-3.97
602.088,150522,na,0,0,-3.74,-3.975
602.092,150523,na,0,0,-3.735,-3.97
602.096,150524,na,0,0,-3.75,-3.97
602.1,150525,na,0,0,-3.75,-3.97
602.104,150526,na,0,0,-3.75,-3.975
602.108,150527,na,0,0,-3.735,-3.985
602.112,150528,na,0,0,-3.75,-3.975
602.116,150529,na,0,0,-3.75,-3.975
602.12,150530,na,0,0,-3.75,-3.975
602.124,150531,na,0,0,-3.765,-3.985
602.128,150532,na,0,0,-3.76,-3.98
602.132,150533,na,0,0,-3.775,-3.98
602.136,150534,na,0,0,-3.775,-3.99
602.14,150535,na,0,0,-3.77,-3.995
602.144,150536,na,0,0,-3.77,-3.995
602.148,150537,na,0,0,-3.77,-3.995
602.152,150538,na,0,0,-3.78,-3.995
602.156,150539,na,0,0,-3.775,-3.995
602.16,150540,na,0,0,-3.775,-4.0
602.164,150541,na,0,0,-3.78,-4.005
602.168,150542,na,0,0,-3.785,-4.01
602.172,150543,na,0,0,-3.795,-4.01
602.176,150544,na,0,0,-3.785,-4.025
602.18,150545,na,0,0,-3.78,-4.02
602.184,150546,na,0,0,-3.775,-4.02
602.188,150547,na,0,0,-3.765,-4.02
602.192,150548,na,0,0,-3.785,-4.025
602.196,150549,na,0,0,-3.785,-4.02
602.2,150550,na,0,0,-3.78,-4.025
602.204,150551,na,0,0,-3.77,-4.02
602.208,150552,na,0,0,-3.765,-4.035
602.212,150553,na,0,0,-3.76,-4.02
602.216,150554,na,0,0,-3.765,-4.02
602.22,150555,na,0,0,-3.77,-4.02
602.224,150556,na,0,0,-3.765,-4.035
602.228,150557,na,0,0,-3.765,-4.025
602.232,150558,na,0,0,-3.77,-4.025
602.236,150559,na,0,0,-3.775,-4.025
602.24,150560,na,0,0,-3.785,-4.02
602.244,150561,na,0,0,-3.775,-4.025
602.248,150562,na,0,0,-3.78,-4.025
602.252,150563,na,0,0,-3.775,-4.025
602.256,150564,na,0,0,-3.77,-4.03
602.26,150565,na,0,0,-3.775,-4.03
602.264,150566,na,0,0,-3.78,-4.035
602.268,150567,na,0,0,-3.785,-4.035
602.272,150568,na,0,0,-3.795,-4.035
602.276,150569,na,0,0,-3.795,-4.04
602.28,150570,na,0,0,-3.79,-4.04
602.284,150571,na,0,0,-3.785,-4.04
